n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
50,3.3643,0.187013,3.18949,3.24713,3.29466,3.39848,3.9202
100,25.5606,0.207469,25.2018,25.4299,25.5762,25.7153,25.9273
200,199.361,3.86302,196.29,196.858,197.327,201.401,210.087
400,1551.94,1.76701,1548.96,1550.77,1551.6,1552.97,1556.34
600,5199.09,3.05504,5191.62,5197.32,5199.68,5201.16,5205.63
800,12287.3,5.18024,12273.4,12284,12286.4,12291.4,12296.3
1000,24061.1,10.6089,24042,24053.5,24060.8,24068.7,24086.5
1250,47008.2,15.0668,46966.8,46999.3,47012.6,47016.4,47040.5
1500,81228,105.411,81126.9,81188.1,81211.3,81245.3,81766.9
1750,128902,26.8084,128852,128881,128900,128929,128949
2000,192169,48.5756,192043,192134,192160,192196,192263
3000,646088,151.68,645717,646009,646095,646192,646371
