n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
100,7.1251,0.647506,6.9105,6.93534,6.95979,7.07282,10.6216
250,8.47523,0.269848,8.3084,8.33421,8.40871,8.49232,9.76841
500,11.3819,0.281263,11.1872,11.2237,11.3094,11.4217,12.6528
1000,26.5634,0.390991,26.2077,26.2712,26.4456,26.7416,27.6822
2500,289.492,1.88396,286.627,288.019,289.221,290.43,294.591
5000,575.622,3.51258,571.627,573.119,574.588,576.905,588.02
10000,1099.1,4.75237,1089.16,1096.17,1098.69,1101.16,1112.22
25000,2548.51,12.3951,2524.08,2540.55,2550.84,2555.72,2579.17
50000,4876.79,14.1023,4848.82,4866.25,4874.71,4887.16,4908.94
100000,8627.28,25.5309,8567.45,8612.15,8631.74,8642.85,8676.31
250000,18515.1,35.1135,18440.8,18492.3,18517.8,18542.6,18567.7
500000,32602.7,91.0286,32311.6,32560.3,32623.5,32673.3,32719.3
900000,56278.6,218.878,55782.6,56127.5,56314.9,56456.4,56589
