n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
100,16.3153,0.203855,15.9991,16.1518,16.3046,16.4266,16.7757
250,16.9162,0.640074,16.0848,16.3642,16.664,17.5958,18.1878
500,18.98,0.31601,18.6813,18.7916,18.9123,19.0202,20.1997
1000,34.3386,0.850251,32.6493,33.891,34.5724,34.8374,35.9035
2500,4848.39,3.80374,4840.96,4845.38,4848.06,4851.28,4855.9
5000,13478.3,10.1384,13453,13472,13479,13486.1,13493.7
10000,18696.9,9.25796,18685.1,18691.9,18695.2,18698.7,18734.5
25000,22043.6,291.582,21938.4,21948.3,21954.8,21961.5,23243.4
50000,23071.2,291.208,22949.1,22971.3,22985,22993.5,24308.6
100000,23746,6.73936,23733.8,23741.5,23744.6,23750.8,23761.9
250000,24094.1,184.902,24025.8,24039.3,24059.9,24068.1,25061.7
500000,24160.5,9.01941,24132.7,24157,24159.8,24164.5,24176.7
900000,24202.2,253.768,24105.4,24126.5,24155.9,24170.5,25552.5
