n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
50,1.82593,0.0852766,1.69531,1.75389,1.84587,1.89203,1.98164
100,7.09285,0.188557,6.84521,6.9198,7.0515,7.23186,7.61397
200,34.4368,0.3002,34.0443,34.3377,34.4006,34.502,35.8547
400,150.381,0.747805,149.465,149.928,150.17,150.738,153.053
600,341.212,7.34088,338.479,339.413,339.631,340.129,380.654
800,646.057,2.21237,643.773,644.927,645.689,646.335,656.861
1000,1051.39,2.02631,1048.28,1049.84,1051.25,1052.69,1056.55
1250,1731.21,4.52286,1726.23,1727.95,1730.22,1732.05,1747.57
1500,2479.75,7.41359,2473.1,2475.91,2478.23,2481.29,2515.08
1750,3601.82,8.93332,3593.4,3597.28,3599.51,3604.61,3644.4
2000,4676.75,10.5213,4665.71,4672.77,4674.62,4676.3,4730.53
