n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
50,3.12142,0.137938,2.93551,2.98867,3.0949,3.25639,3.42237
100,23.9022,0.595906,20.8079,23.867,23.9603,24.0869,24.5121
200,188.495,6.41025,153.447,189.234,189.568,189.88,190.735
400,1504.21,46.9899,1246.86,1511.05,1512.48,1513.79,1515.7
600,5068.7,167.634,4150.61,5094.02,5095.34,5103.14,5108.93
800,12035.8,450.731,9565.89,12111.7,12115.2,12117.8,12128.2
1000,23562.9,845.169,18934,23693,23701.2,23717.5,23779.4
1250,46126.5,1733.95,36625.6,46416.7,46425.5,46436.7,46535.5
1500,79963.3,3163.67,62631.6,80427.4,80556,80583.9,80632.8
1750,127074,4661.25,101545,127717,127982,128032,128075
2000,189556,7191.83,150159,190586,190925,190974,191034
