n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
50,0.108126,0.00946132,0.094434,0.103646,0.10405,0.10944,0.144305
100,0.389778,0.023159,0.372819,0.37581,0.378099,0.393644,0.446361
200,1.51851,0.0817427,1.39376,1.4317,1.53703,1.55973,1.67798
400,5.87108,0.137282,5.62652,5.78039,5.87002,5.93292,6.17129
600,12.9389,0.202285,12.7195,12.8021,12.8512,13.1335,13.419
800,22.6766,0.193764,22.417,22.5031,22.6542,22.8009,23.1285
1000,35.6798,0.711886,34.7831,35.0792,35.5783,36.1634,37.6308
1250,54.815,0.566877,54.0204,54.2834,54.854,55.1407,56.3134
1500,78.3751,0.567021,77.7744,78.0124,78.1824,78.5766,80.1247
1750,106.765,0.733866,105.967,106.257,106.592,106.852,109.635
2000,139.23,0.700632,138.2,138.753,139.152,139.525,140.72
3000,315.56,2.03094,311.877,314.783,316.039,316.721,321.469
5000,882.48,3.80545,875.761,879.926,882.623,884.648,891.217
