n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
50,0.547274,0.0315293,0.508214,0.530393,0.532855,0.552256,0.651381
100,3.70778,0.152439,3.50977,3.60225,3.64896,3.83183,4.04939
200,26.9423,0.272248,26.5262,26.7812,26.8812,27.1237,27.7894
400,206.013,1.08851,204.744,205.444,205.716,206.074,209.393
600,686.186,1.34966,683.667,685.304,685.98,686.772,691.184
800,1614.71,1.37852,1612.67,1613.67,1614.66,1615.37,1619.06
1000,3186.71,84.6595,3135.51,3138.62,3140.46,3191.83,3405.97
1250,6103.89,2.90149,6098.47,6101.58,6103.83,6105.63,6110.25
1500,10574.3,126.816,10519.8,10523.8,10526.8,10531.8,10964.5
1750,16690.3,6.41168,16679.4,16685.2,16690.6,16694.1,16704.4
2000,24978.8,282.529,24882.1,24887.3,24894.7,24902.7,26158.6
3000,84081.4,863.92,83758.1,83799.2,83819.4,83830.6,87008.3
